Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-05,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-07,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-09,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-11,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-13,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-15,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-17,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-19,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-21,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-23,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,NA,NA
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Forced Choice,FCT-25,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,NA,NA
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-03,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-05,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-07,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-09,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-11,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-13,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-15,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-17,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-19,0,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-21,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
H59,1,1,L2L 2nd,2,NA,101,NA,NA,NA,1,2,3,3,Mandarin,Yes,No,No,Forced Choice,FCT-23,1,NA,NA,NA,NA,NA,NA,NA,Clitic,Masculine,Plural,NA,NA,NA,NA,L2L,2nd,3,0.3333333333333333
