Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct,Verb_Freq_Std
H22,HS 4th/5th,5,11,138,4,3,NA,8,Forced Choice,FCT-18,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,7,0.5714285714285714,-0.769854120553205
H22,HS 4th/5th,5,11,138,4,3,NA,8,Forced Choice,FCT-22,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,7,0.5714285714285714,-0.33645558295898137
H22,HS 4th/5th,5,11,138,4,3,NA,8,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,7,0.5714285714285714,-0.6273761637142651
H22,HS 4th/5th,5,11,138,4,3,NA,8,Forced Choice,FCT-28,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,7,0.5714285714285714,-0.5470515123128521
H24,HS 4th/5th,5,11,138,2,3,NA,8,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,0.947884570880832
H24,HS 4th/5th,5,11,138,2,3,NA,8,Forced Choice,FCT-06,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,2.252878130498378
H24,HS 4th/5th,5,11,138,2,3,NA,8,Forced Choice,FCT-10,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.6881439157243551
H24,HS 4th/5th,5,11,138,2,3,NA,8,Forced Choice,FCT-14,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.2318814061155509
H24,HS 4th/5th,5,11,138,2,3,NA,8,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.769854120553205
H24,HS 4th/5th,5,11,138,2,3,NA,8,Forced Choice,FCT-22,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.33645558295898137
H24,HS 4th/5th,5,11,138,2,3,NA,8,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.6273761637142651
H24,HS 4th/5th,5,11,138,2,3,NA,8,Forced Choice,FCT-28,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.5470515123128521
H25,HS 4th/5th,5,10,128,4,2,NA,7,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,0.947884570880832
H25,HS 4th/5th,5,10,128,4,2,NA,7,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,2.252878130498378
H25,HS 4th/5th,5,10,128,4,2,NA,7,Forced Choice,FCT-10,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.6881439157243551
H25,HS 4th/5th,5,10,128,4,2,NA,7,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.2318814061155509
H25,HS 4th/5th,5,10,128,4,2,NA,7,Forced Choice,FCT-18,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.769854120553205
H25,HS 4th/5th,5,10,128,4,2,NA,7,Forced Choice,FCT-22,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.33645558295898137
H25,HS 4th/5th,5,10,128,4,2,NA,7,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.6273761637142651
H25,HS 4th/5th,5,10,128,4,2,NA,7,Forced Choice,FCT-28,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.5470515123128521
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,0.947884570880832
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Forced Choice,FCT-06,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,2.252878130498378
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.6881439157243551
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.2318814061155509
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Forced Choice,FCT-18,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.769854120553205
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.33645558295898137
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Forced Choice,FCT-26,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.6273761637142651
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Forced Choice,FCT-28,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.5470515123128521
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Forced Choice,FCT-02,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,0.947884570880832
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Forced Choice,FCT-06,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,2.252878130498378
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Forced Choice,FCT-10,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.6881439157243551
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.2318814061155509
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.769854120553205
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.33645558295898137
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.6273761637142651
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Forced Choice,FCT-28,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.5470515123128521
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,0.947884570880832
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Forced Choice,FCT-06,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,2.252878130498378
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Forced Choice,FCT-10,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.6881439157243551
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Forced Choice,FCT-14,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.2318814061155509
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.769854120553205
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.33645558295898137
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.6273761637142651
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Forced Choice,FCT-28,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.5470515123128521
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Forced Choice,FCT-02,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,0.947884570880832
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Forced Choice,FCT-06,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,2.252878130498378
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.6881439157243551
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Forced Choice,FCT-14,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.2318814061155509
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Forced Choice,FCT-18,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.769854120553205
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.33645558295898137
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Forced Choice,FCT-26,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.6273761637142651
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Forced Choice,FCT-28,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.5470515123128521
H77,HS 4th/5th,4,11,132,5,5,NA,8,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,0.947884570880832
H77,HS 4th/5th,4,11,132,5,5,NA,8,Forced Choice,FCT-06,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,2.252878130498378
H77,HS 4th/5th,4,11,132,5,5,NA,8,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.6881439157243551
H77,HS 4th/5th,4,11,132,5,5,NA,8,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.2318814061155509
H77,HS 4th/5th,4,11,132,5,5,NA,8,Forced Choice,FCT-18,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.769854120553205
H77,HS 4th/5th,4,11,132,5,5,NA,8,Forced Choice,FCT-22,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.33645558295898137
H77,HS 4th/5th,4,11,132,5,5,NA,8,Forced Choice,FCT-26,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.6273761637142651
H77,HS 4th/5th,4,11,132,5,5,NA,8,Forced Choice,FCT-28,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.5470515123128521
